recency,history_segment,history,mens,womens,zip_code,newbie,channel,treatment,target
12,0,69.08,0,1,2,0,1,1,0
3,4,549.29,1,0,1,1,0,0,0
9,4,506.83,1,0,2,1,0,0,0
3,1,143.93,0,1,1,0,1,1,0
10,1,115.4,1,0,0,0,1,0,0
2,0,96.91,1,0,1,0,1,1,0
6,0,40.07,1,0,1,1,1,0,0
11,3,417.21,0,1,0,0,1,0,0
9,0,61.57,1,0,1,1,1,1,0
5,2,222.07,0,1,1,0,1,1,0
1,2,259.91,0,1,1,1,2,0,0
11,0,53.81,1,0,0,1,1,0,0
9,1,154.15,0,1,1,0,2,0,0
10,6,1009.44,1,0,1,1,0,1,0
2,2,278.8,1,0,2,0,2,0,0
10,0,31.12,1,0,0,0,1,1,0
2,3,428.74,1,0,2,0,1,0,0
7,4,612.28,1,0,1,1,1,1,0
11,2,228.09,0,1,1,1,2,0,0
1,4,640.58,0,1,0,1,1,0,0
4,1,194.11,1,0,0,0,1,0,0
7,0,84.49,0,1,0,1,2,0,0
7,2,235.14,0,1,0,1,1,0,0
2,0,29.99,0,1,1,0,1,0,0
7,2,272.32,1,0,1,1,2,0,0
2,0,95.33,0,1,1,0,2,0,1
5,3,494.26,1,1,1,1,1,0,0
2,5,809.07,1,0,0,1,1,0,0
1,0,80.42,0,1,0,1,1,1,0
10,2,237.85,1,0,0,0,2,1,0
2,0,82.59,1,0,1,0,1,1,0
6,1,165.77,0,1,0,0,2,1,1
3,1,101.61,0,1,1,1,1,0,0
8,0,52.64,0,1,1,1,2,0,0
6,3,466.29,1,0,0,1,0,0,0
3,1,100.85,1,0,0,1,1,0,0
3,6,1397.57,1,0,1,1,0,0,0
2,5,770.58,0,1,1,1,1,0,0
3,6,1973.87,1,0,1,1,0,0,0
3,1,133.51,1,0,0,0,2,0,0
8,0,31.52,0,1,1,0,2,0,0
1,0,47.44,0,1,0,0,1,1,0
1,1,106.27,0,1,1,0,2,1,0
11,2,215.46,0,1,0,0,2,1,0
11,1,189.25,0,1,0,1,1,0,0
10,1,108.12,1,0,0,0,2,1,0
8,0,66.14,1,0,1,1,1,0,0
8,0,98.56,1,0,1,1,2,1,0
6,1,129.14,1,0,1,0,2,1,0
2,3,493.17,0,1,1,0,2,1,0
11,1,146.04,0,1,1,1,1,0,0
12,0,29.99,0,1,0,1,2,0,0
2,0,66.6,1,0,0,1,1,1,0
12,1,129.73,1,0,1,0,2,1,0
4,0,54.41,0,1,0,1,1,1,0
9,6,1172.42,1,1,1,1,2,0,0
5,2,244.34,0,1,0,1,2,0,0
2,2,287.04,1,1,0,1,1,1,0
4,0,29.99,0,1,0,1,2,1,0
9,1,151.01,1,0,1,0,2,0,0
11,0,35.43,1,0,0,1,1,0,0
5,0,84.17,1,0,0,1,2,1,0
3,2,313.6,0,1,1,0,1,0,0
1,1,117.27,0,1,2,0,1,0,0
5,0,29.99,0,1,1,0,2,0,0
3,6,1167.93,1,1,2,1,2,1,0
3,4,683.2,1,1,2,1,0,0,0
1,1,110.07,0,1,0,0,2,0,0
1,1,102.94,1,0,0,0,2,1,0
2,0,29.99,0,1,0,0,2,0,0
11,1,160.04,1,0,2,0,2,0,0
1,3,418.68,0,1,1,0,2,0,0
11,2,316.23,1,0,0,1,1,0,0
12,2,253.06,0,1,1,0,1,1,0
9,2,329.96,0,1,1,1,1,0,0
7,1,185.73,1,0,1,0,1,0,0
11,0,52.08,0,1,0,0,2,1,0
1,4,616.73,0,1,0,1,2,0,0
9,1,123.39,1,0,0,0,1,1,0
3,2,249.71,1,0,1,0,1,0,0
2,0,46.09,0,1,0,0,2,0,0
8,0,48.87,1,0,1,1,2,0,0
10,0,77.37,1,0,1,0,1,1,0
4,2,270.24,1,0,0,1,1,0,0
9,2,228.8,1,0,1,0,0,0,1
3,0,80.18,0,1,0,0,1,1,0
11,1,131.76,0,1,1,1,2,1,1
9,1,162.59,0,1,0,0,1,0,1
12,0,87.62,1,0,0,1,1,0,0
3,0,29.99,1,0,1,0,1,0,0
3,0,29.99,0,1,0,0,2,1,0
7,0,59.96,1,0,0,1,2,1,0
7,0,78.49,0,1,2,0,2,1,0
2,0,29.99,0,1,1,0,1,0,0
7,2,206.8,1,0,1,0,1,1,0
7,2,229.53,1,0,1,0,2,0,1
1,3,439.93,1,1,2,1,0,0,0
10,2,313.67,1,0,2,1,1,1,1
7,0,29.99,1,0,1,1,2,1,0
3,0,57.33,0,1,1,0,2,1,1
2,2,289.55,0,1,2,0,1,0,1
5,0,29.99,0,1,1,1,1,0,1
9,2,274.29,1,0,1,0,2,0,0
1,2,293.37,1,0,1,0,1,0,0
12,0,29.99,1,0,0,1,1,0,0
1,3,407.09,1,0,1,0,2,0,0
1,1,142.4,0,1,1,0,1,0,0
1,0,29.99,0,1,0,1,2,0,0
12,2,284.54,1,1,1,0,2,0,0
2,0,60.2,0,1,1,1,2,0,0
4,6,1089.77,1,0,0,1,0,0,0
7,0,29.99,1,0,1,1,2,1,0
1,4,747.31,0,1,2,1,2,1,0
6,1,136.63,1,0,0,1,2,1,0
10,0,29.99,1,0,2,1,2,1,0
11,0,54.11,1,0,0,1,2,1,0
1,5,790.36,1,1,0,1,0,0,0
4,0,36.49,1,0,0,1,2,0,0
12,2,271.89,1,0,2,0,2,0,0
5,3,399.46,1,0,1,0,2,1,0
3,0,39.83,0,1,0,1,1,0,1
10,1,153.58,1,0,1,0,1,1,0
5,2,269.99,1,1,1,0,1,0,0
2,0,29.99,1,0,0,1,2,1,0
4,2,292.61,1,0,1,0,0,0,0
2,4,576.02,0,1,1,1,2,1,0
6,0,29.99,1,0,1,0,2,0,0
9,1,116.3,1,0,2,1,2,0,1
5,0,29.99,1,0,1,0,2,0,0
3,0,29.99,0,1,0,1,2,0,0
7,5,968.65,1,1,1,1,2,1,0
7,0,39.78,0,1,1,0,2,0,0
9,2,311.81,1,0,0,0,0,1,1
1,4,720.17,1,1,0,1,1,0,0
4,0,69.08,0,1,0,0,1,0,0
12,0,80.56,1,0,0,0,2,1,0
1,2,301.19,1,0,1,1,2,0,0
10,2,307.64,0,1,0,0,0,0,0
7,3,481.56,1,0,1,0,2,0,0
10,0,29.99,0,1,1,0,2,0,0
1,5,895.43,0,1,1,1,2,1,0
5,3,425.1,1,0,2,1,1,0,0
10,0,36.28,1,0,0,1,2,0,0
4,3,413.46,0,1,2,0,1,1,0
7,0,32.42,1,0,1,0,1,0,0
10,1,170.32,1,0,0,1,1,1,0
1,1,150.93,1,0,1,0,2,0,0
11,2,223.39,1,0,2,1,1,1,0
1,4,506.51,1,0,0,1,0,0,0
8,4,575.62,1,1,0,1,0,0,0
3,0,29.99,0,1,1,0,2,1,1
2,1,145.76,0,1,1,1,2,0,1
1,0,29.99,1,0,2,1,1,1,0
8,3,428.0,1,0,1,1,0,0,0
6,4,604.39,1,1,0,1,1,0,0
8,1,171.88,1,0,1,0,1,0,0
4,3,370.86,0,1,1,0,0,1,0
8,1,138.62,0,1,0,1,2,1,0
7,0,29.99,1,0,1,1,2,0,0
1,2,209.98,1,0,1,0,2,0,1
3,1,166.0,0,1,0,0,2,0,0
10,0,88.37,0,1,0,0,1,1,1
8,2,336.76,0,1,1,0,1,0,0
1,0,60.71,0,1,2,1,1,1,0
4,3,356.73,0,1,1,0,2,0,0
4,0,52.12,1,0,0,0,1,0,0
7,3,406.7,0,1,1,1,1,0,0
6,2,277.81,1,0,1,1,0,0,0
1,1,181.98,0,1,0,1,2,0,0
2,1,112.13,1,0,0,1,2,1,0
5,0,29.99,0,1,2,1,2,0,0
5,3,439.26,1,0,1,0,0,1,0
8,0,64.16,0,1,1,0,2,1,0
5,0,29.99,0,1,1,0,2,0,1
6,0,29.99,0,1,0,1,2,0,0
2,4,591.95,0,1,0,1,0,1,0
8,1,130.31,1,0,1,1,1,0,0
3,0,65.26,1,0,0,0,2,0,1
10,1,132.46,1,0,0,0,1,1,0
4,2,225.89,1,1,2,1,2,1,0
2,1,115.56,0,1,1,1,2,0,0
8,1,104.94,0,1,0,0,1,0,0
7,0,69.44,1,0,2,0,2,0,1
10,0,47.47,0,1,1,0,1,1,0
1,2,215.08,0,1,1,0,2,1,1
2,2,224.89,1,1,0,0,0,0,0
9,2,201.75,1,1,1,0,1,1,0
5,3,354.03,1,0,0,0,2,0,0
10,1,151.43,1,0,0,0,2,0,0
11,1,120.14,1,0,0,0,2,0,0
5,1,159.41,0,1,1,1,1,1,1
5,2,290.86,1,0,0,1,2,0,0
4,0,87.2,0,1,1,1,1,1,1
11,0,81.06,1,0,0,0,2,0,0
10,0,55.11,1,0,0,1,2,0,0
1,4,513.83,0,1,1,1,0,0,0
4,5,770.38,0,1,2,1,0,0,0
1,0,33.5,1,0,1,0,2,0,0
2,0,56.25,1,0,1,1,1,0,0
2,6,1093.92,1,1,1,1,2,0,0
1,5,752.8,1,1,0,1,1,0,0
2,1,199.95,1,0,1,1,1,0,0
9,2,239.91,0,1,2,0,1,0,0
8,0,43.16,0,1,0,1,1,0,0
2,3,418.81,0,1,1,0,0,0,0
9,2,318.52,0,1,0,0,2,1,0
1,1,109.26,0,1,1,1,2,1,1
3,0,67.4,1,0,1,0,2,0,0
9,1,135.02,1,0,1,1,2,1,0
10,0,54.25,0,1,1,0,2,0,0
3,0,55.34,1,0,1,1,1,1,0
4,2,297.8,1,1,0,0,1,1,1
4,1,146.49,0,1,1,0,1,1,0
7,2,329.26,0,1,0,0,2,0,0
1,0,29.99,1,0,2,1,1,0,0
4,2,249.61,0,1,0,1,1,1,0
5,0,39.52,1,0,1,1,1,0,0
1,2,307.58,1,0,1,0,0,0,0
6,0,92.32,0,1,0,0,1,0,0
6,3,464.17,0,1,1,0,0,1,0
6,0,29.99,1,0,1,1,2,1,0
2,3,435.33,0,1,1,0,2,1,0
10,3,375.9,0,1,0,0,2,0,0
9,0,29.99,1,0,0,0,2,0,0
9,2,220.51,1,0,0,0,0,0,0
5,1,180.28,0,1,1,0,1,1,0
6,0,78.69,0,1,1,0,1,0,0
2,3,350.48,1,0,0,1,2,1,0
3,3,376.14,1,0,1,0,1,0,0
1,1,179.63,1,0,1,0,1,0,1
6,1,164.51,1,0,1,0,1,1,1
8,0,59.76,0,1,0,1,2,0,0
11,0,29.99,0,1,1,0,2,1,0
2,3,407.64,0,1,0,1,2,1,0
1,1,143.0,0,1,0,0,1,1,0
4,2,320.17,0,1,0,1,1,0,0
1,1,103.07,1,0,1,0,2,0,0
10,0,35.84,1,0,0,1,1,0,0
3,1,190.66,0,1,1,1,2,1,0
2,0,90.91,1,0,1,0,2,0,0
5,2,215.03,0,1,0,1,2,0,0
1,5,856.4,0,1,0,1,2,0,0
10,1,139.83,1,0,0,1,1,0,0
10,2,245.09,1,0,0,0,0,0,0
6,1,127.2,0,1,1,0,1,0,0
1,3,470.65,1,0,0,0,1,0,0
1,0,59.13,1,0,0,1,2,0,0
3,2,327.1,1,0,1,1,2,0,0
1,3,399.72,1,1,1,0,1,0,1
3,0,29.99,1,0,0,0,1,0,0
6,3,398.03,1,1,1,0,1,0,0
4,1,134.24,0,1,0,0,2,0,1
10,2,290.55,0,1,1,0,2,0,0
7,0,29.99,1,0,1,0,2,0,0
4,0,87.69,1,0,1,0,2,0,0
10,2,335.77,0,1,2,0,0,1,0
12,3,465.37,0,1,2,1,0,0,0
12,0,75.26,1,0,0,1,1,1,0
10,2,327.18,0,1,0,0,1,1,0
1,1,188.89,0,1,1,1,2,0,0
4,0,49.8,1,0,0,1,2,0,0
7,4,688.51,1,1,2,1,0,1,0
3,2,229.42,0,1,2,0,0,0,0
1,2,253.18,0,1,1,0,0,0,0
2,1,156.4,0,1,1,0,2,0,0
2,1,196.93,0,1,2,1,2,1,0
4,4,557.47,1,0,0,1,2,0,0
12,1,177.66,1,0,1,0,1,1,1
9,0,29.99,0,1,1,0,1,1,0
11,1,140.07,0,1,0,1,2,0,0
10,1,168.04,1,0,0,0,2,0,0
5,1,173.65,1,0,0,0,2,1,0
4,1,164.7,1,0,1,0,1,0,0
2,0,57.53,1,0,0,1,1,0,0
10,0,29.99,1,0,0,0,2,1,0
3,1,188.19,1,0,0,0,1,0,1
10,0,29.99,0,1,1,0,2,0,1
1,0,35.23,1,0,0,1,1,0,0
4,0,63.22,1,0,1,0,2,1,0
4,4,550.59,1,0,1,1,2,0,0
6,2,232.94,1,0,1,1,0,0,0
11,0,91.23,1,0,0,0,2,1,0
2,4,571.53,1,0,2,1,0,1,0
1,1,169.31,0,1,2,1,2,1,0
10,2,205.88,1,0,0,0,1,0,0
1,6,1281.48,1,0,0,1,1,0,0
3,0,29.99,1,0,0,0,2,0,1
3,4,542.16,1,0,0,1,1,0,1
7,3,424.6,0,1,1,1,1,1,0
6,4,507.25,0,1,0,1,1,0,0
10,0,29.99,1,0,2,0,2,0,0
2,3,373.14,0,1,0,0,0,1,1
7,0,60.02,1,0,1,1,1,0,0
1,0,68.5,0,1,0,0,1,0,0
11,0,37.45,0,1,0,0,1,0,0
2,0,38.34,1,0,0,0,2,1,0
5,4,545.73,1,0,1,1,0,1,0
4,0,70.39,0,1,1,1,2,0,0
6,0,98.8,0,1,2,1,1,0,1
9,0,29.99,1,0,0,0,2,1,0
5,4,556.5,0,1,2,1,2,0,0
4,0,29.99,1,0,0,0,1,1,0
6,1,136.26,0,1,2,1,2,0,0
2,5,936.63,1,0,0,1,1,1,0
9,1,172.14,0,1,0,0,1,0,0
2,2,203.52,1,1,0,1,0,0,1
1,3,422.81,0,1,0,0,1,1,1
10,2,320.11,0,1,2,0,2,0,0
12,0,29.99,0,1,1,0,1,1,0
8,2,267.25,0,1,1,0,1,0,0
11,1,164.9,0,1,1,0,1,1,0
11,2,265.39,0,1,1,0,0,1,0
9,4,744.22,1,0,2,1,2,0,0
3,0,99.25,1,0,1,1,1,0,0
5,0,62.49,1,0,2,0,2,0,0
4,0,72.66,0,1,1,1,1,0,0
10,2,333.65,0,1,1,0,2,0,0
7,2,340.18,0,1,0,0,1,0,0
4,2,300.58,0,1,1,1,2,1,0
10,0,62.63,0,1,1,1,1,0,0
10,3,357.28,0,1,1,0,2,1,0
5,2,283.55,1,0,0,1,1,0,0
9,0,48.93,1,0,2,1,1,1,0
9,0,54.34,1,0,1,0,1,0,1
5,2,247.82,1,0,0,0,1,0,0
11,1,178.56,1,0,0,0,1,0,0
2,0,86.38,1,0,0,1,2,0,0
7,2,233.4,1,1,0,0,0,0,0
2,1,189.67,1,0,2,1,2,1,0
1,6,1524.15,1,0,2,1,2,0,0
5,4,544.43,0,1,0,1,2,1,0
8,0,60.69,1,0,0,1,1,1,0
10,0,57.71,0,1,1,0,2,0,0
4,3,410.86,0,1,0,0,2,0,0
6,0,40.24,1,0,1,1,1,0,0
9,4,535.17,0,1,1,1,2,0,0
3,4,584.63,1,1,1,1,2,0,0
1,0,29.99,1,0,0,1,1,0,0
3,6,1570.59,1,1,0,1,2,1,0
5,1,119.47,1,0,1,0,1,0,0
7,0,68.86,0,1,1,0,1,0,0
3,0,68.81,0,1,0,0,1,0,0
9,1,165.62,0,1,0,0,2,0,0
1,4,686.08,1,1,0,1,2,0,0
3,2,263.07,0,1,1,0,2,1,0
5,4,568.26,0,1,1,1,0,1,0
7,1,145.89,0,1,0,0,1,0,0
2,1,190.4,0,1,2,1,2,1,1
5,5,964.59,0,1,1,1,1,0,0
10,1,158.55,0,1,1,0,1,1,0
7,4,578.35,0,1,1,1,2,0,1
7,0,93.33,1,0,0,0,2,0,0
9,1,157.76,1,0,0,0,1,1,0
2,5,762.0,1,0,1,1,2,1,0
5,0,29.99,1,0,1,0,1,1,0
2,2,235.19,1,0,0,1,0,1,0
5,0,42.3,0,1,0,0,1,0,0
4,3,474.94,0,1,0,1,2,0,0
7,2,291.88,1,0,0,0,0,0,0
3,0,80.51,1,0,1,1,2,1,0
2,2,224.69,1,1,0,0,2,1,0
6,0,32.17,1,0,0,1,1,0,0
4,4,553.42,1,0,2,1,2,1,1
1,2,219.3,0,1,1,0,1,1,0
1,2,200.26,1,0,1,0,0,0,0
8,6,1137.96,0,1,1,1,1,0,0
8,0,29.99,0,1,0,1,1,1,0
9,0,51.53,1,0,1,1,1,0,0
3,1,177.36,0,1,1,1,2,0,0
9,0,34.75,1,0,0,1,2,0,0
8,3,402.84,1,0,1,0,1,0,0
1,2,276.21,1,0,1,0,1,0,0
1,5,960.02,1,1,2,1,2,0,1
1,1,100.92,0,1,0,1,2,0,0
7,5,770.87,1,1,0,1,1,1,0
7,0,63.95,1,0,0,1,1,1,0
7,2,348.44,0,1,1,1,2,0,0
11,0,29.99,0,1,2,0,2,0,0
3,2,216.08,0,1,0,0,1,0,0
3,2,211.88,1,1,1,0,2,1,0
9,1,129.46,1,0,0,1,1,0,0
11,1,189.23,1,0,1,0,2,1,0
10,1,149.31,0,1,2,1,1,1,0
4,2,218.92,0,1,1,0,2,0,1
3,1,109.34,0,1,1,0,1,0,0
2,0,32.18,1,0,1,1,2,0,0
7,2,287.73,1,1,0,0,2,0,1
4,0,29.99,0,1,0,1,1,0,0
12,0,98.17,0,1,1,1,2,0,0
3,2,297.33,0,1,0,0,1,1,0
5,4,728.99,1,0,0,1,2,0,0
9,3,483.16,1,1,0,0,1,0,1
4,0,93.36,1,0,1,1,1,0,0
2,4,542.34,0,1,0,1,1,0,0
9,0,44.68,1,0,0,0,1,0,0
6,2,265.61,0,1,1,1,0,1,1
4,1,184.47,1,0,2,0,1,1,0
8,0,69.67,1,0,2,1,2,1,0
2,1,188.03,1,0,0,1,1,0,0
1,6,1873.15,0,1,0,1,1,1,0
1,1,132.46,1,0,0,0,1,0,0
8,1,167.05,0,1,0,0,1,0,0
3,1,179.31,0,1,0,0,2,0,0
1,1,101.99,0,1,1,0,2,1,1
1,2,290.03,1,1,0,0,2,0,1
1,0,89.59,0,1,1,1,2,0,0
4,0,29.99,0,1,1,1,2,1,0
2,5,851.45,1,1,2,1,2,0,1
1,2,248.43,1,0,1,1,1,0,0
3,1,141.2,0,1,1,1,1,0,0
9,0,69.9,1,0,1,1,2,1,0
7,0,29.99,1,0,0,0,2,0,0
6,1,113.6,1,0,1,1,1,0,0
10,0,29.99,0,1,0,0,2,1,0
9,2,302.52,1,0,0,0,1,0,0
3,0,73.99,0,1,1,0,1,0,0
1,0,79.5,0,1,1,0,2,0,0
12,1,103.6,1,0,2,0,1,0,0
1,1,137.29,0,1,0,0,1,0,0
8,0,34.8,0,1,1,1,1,1,0
6,1,114.74,1,0,0,0,2,0,1
8,2,244.94,1,0,1,0,1,1,0
1,3,452.72,0,1,2,0,2,1,0
5,0,29.99,0,1,0,0,2,0,0
1,3,386.11,1,1,0,0,0,0,0
8,0,45.78,1,0,1,0,1,0,0
6,3,358.77,0,1,1,0,2,0,0
5,1,141.74,1,0,1,0,2,0,0
9,2,205.33,1,0,1,1,0,0,0
1,4,629.85,1,0,0,1,2,0,1
9,0,64.09,1,0,1,0,1,1,0
4,1,162.56,0,1,0,1,1,1,0
9,3,383.77,0,1,1,1,1,0,1
6,0,64.33,1,0,2,0,2,0,1
11,1,143.65,0,1,0,1,1,1,0
12,0,63.28,1,0,0,1,1,0,0
6,1,108.83,1,0,0,0,1,0,0
4,1,121.87,1,0,2,0,2,0,0
10,3,489.29,0,1,1,0,1,0,0
2,1,199.97,0,1,1,0,1,0,0
4,4,614.83,1,0,0,1,0,0,0
5,1,103.44,0,1,2,1,2,1,1
9,1,199.38,0,1,0,1,1,0,0
4,2,224.04,1,0,0,0,2,0,0
3,0,80.65,0,1,1,1,2,1,1
3,0,66.47,1,0,2,1,2,0,0
9,0,33.63,0,1,2,0,1,0,0
6,4,528.03,1,1,0,1,0,1,0
10,0,29.99,1,0,1,0,2,1,0
2,1,109.81,1,0,0,1,2,0,1
10,4,507.15,0,1,2,1,2,1,0
10,1,161.43,0,1,1,1,2,0,1
12,0,90.15,1,0,1,0,2,0,0
1,4,567.13,0,1,2,1,1,1,0
1,4,681.12,1,0,2,1,1,0,0
9,1,198.54,0,1,0,0,1,0,0
11,2,301.0,1,1,1,1,2,0,0
2,3,378.5,0,1,0,0,2,0,1
10,1,131.95,0,1,1,0,1,0,1
6,1,179.51,0,1,0,0,1,1,0
10,3,375.34,1,0,2,0,2,0,0
8,0,29.99,1,0,1,0,1,1,0
1,2,286.31,1,1,1,0,2,0,0
7,4,600.13,1,1,0,1,1,0,0
6,1,107.42,0,1,0,1,2,0,0
1,6,1515.82,1,1,1,1,0,1,1
2,1,102.99,0,1,1,0,1,0,0
10,2,317.16,1,0,0,0,2,1,0
7,2,297.6,1,0,1,0,2,0,0
10,4,599.06,0,1,0,1,2,1,0
10,0,29.99,1,0,0,0,2,1,0
1,5,783.8,1,1,1,1,2,0,0
9,0,89.96,1,0,1,0,2,0,1
8,1,155.75,0,1,0,1,1,0,0
11,0,29.99,1,0,1,1,1,1,0
5,0,47.98,0,1,0,0,2,1,0
8,1,135.67,1,0,2,1,2,0,0
11,4,504.86,1,0,2,1,0,1,0
1,5,904.58,0,1,1,1,1,1,1
11,2,312.41,1,0,0,1,2,1,0
9,3,404.03,1,1,0,0,0,0,0
7,2,251.05,1,0,1,0,0,1,1
1,0,30.01,0,1,0,1,2,1,0
1,1,155.65,1,0,0,0,2,0,0
12,0,36.67,0,1,0,0,2,0,1
12,0,49.27,1,0,0,1,1,1,0
1,4,563.7,1,0,1,1,0,0,0
6,2,265.2,1,0,1,0,1,0,0
1,3,357.56,0,1,1,0,1,0,0
11,2,206.97,1,0,1,0,2,0,0
7,6,1222.53,1,1,2,1,1,0,1
5,0,67.55,1,0,1,0,1,0,0
9,1,108.59,1,0,2,1,2,0,0
1,4,615.04,1,1,1,1,1,0,0
7,1,153.17,1,0,2,0,1,0,0
9,0,40.16,1,0,0,1,1,1,0
4,1,127.51,1,0,0,1,2,0,0
8,0,60.9,0,1,2,1,1,0,0
1,2,234.17,1,0,2,1,1,0,0
12,1,145.27,1,0,0,1,2,0,0
11,1,112.61,0,1,0,0,2,0,0
5,1,168.1,1,0,1,0,2,0,0
1,4,745.63,1,1,0,1,0,1,0
6,0,29.99,0,1,1,0,2,1,0
5,0,37.79,0,1,1,0,2,0,0
8,5,772.55,1,0,1,1,2,1,0
4,0,70.16,0,1,1,0,2,0,0
7,1,115.07,0,1,1,0,1,1,0
3,2,248.26,0,1,1,1,0,1,0
6,0,65.1,1,0,0,0,1,0,0
1,4,585.14,1,0,1,1,0,1,0
9,2,297.59,0,1,1,1,1,0,1
7,3,409.76,1,1,0,0,0,0,0
9,0,60.15,0,1,1,0,2,0,0
1,1,111.37,0,1,1,1,2,0,0
7,0,29.99,0,1,0,0,1,0,0
1,0,87.0,0,1,2,1,1,0,0
2,0,46.47,0,1,1,1,2,0,0
11,2,297.25,0,1,0,1,1,1,0
9,1,129.29,0,1,0,1,2,0,0
5,1,150.06,1,0,2,1,2,1,0
3,4,708.62,0,1,1,1,1,0,0
3,0,29.99,1,0,0,1,1,0,0
2,4,531.69,0,1,0,1,1,1,0
10,1,113.33,0,1,0,0,2,0,0
4,4,737.33,0,1,1,1,2,0,0
12,0,29.99,1,0,0,1,2,0,0
6,6,1292.1,1,0,1,1,2,1,0
11,2,272.89,1,0,1,1,2,1,0
4,2,302.86,0,1,1,1,1,1,0
11,0,29.99,0,1,1,0,2,0,0
7,5,758.59,0,1,1,1,2,0,0
4,1,174.55,1,0,2,1,2,0,0
9,0,76.72,1,0,1,0,1,0,0
6,2,334.34,0,1,2,0,0,0,1
12,1,108.83,1,0,2,0,2,0,1
10,2,319.45,0,1,0,0,1,0,0
10,0,29.99,1,0,1,1,2,0,0
3,3,367.27,0,1,1,1,1,0,0
8,0,29.99,1,0,0,1,2,0,0
10,1,102.82,1,0,1,1,2,0,0
10,1,189.02,0,1,2,1,1,1,0
4,4,739.84,1,0,0,1,1,0,0
4,0,85.64,1,0,1,1,2,1,0
6,1,161.43,0,1,1,0,2,0,1
8,2,346.57,1,0,0,1,2,0,0
7,4,729.01,0,1,2,1,1,0,0
10,0,51.33,1,0,1,1,2,0,0
2,1,159.22,0,1,1,0,2,0,0
5,6,1079.62,1,1,1,1,2,0,1
10,0,29.99,1,0,1,1,2,0,0
11,0,43.51,0,1,1,0,2,0,0
10,1,163.8,0,1,0,1,2,0,0
9,2,212.32,1,0,1,0,0,0,0
7,1,147.81,1,0,1,1,2,0,0
5,1,168.93,1,0,0,1,2,1,0
6,6,1462.5,1,0,0,1,1,1,0
1,4,544.98,1,0,0,1,2,0,0
11,2,322.87,0,1,2,0,1,1,0
7,4,508.18,1,0,0,1,2,0,0
1,0,50.62,1,0,0,0,2,0,0
1,5,806.91,1,1,1,1,0,1,1
5,2,291.17,1,0,1,0,0,0,0
6,3,447.01,0,1,0,1,2,1,0
5,5,777.95,1,0,1,1,2,0,0
9,1,174.11,1,0,1,0,1,1,1
5,0,30.59,0,1,0,1,2,0,0
4,2,305.76,0,1,1,0,1,0,0
8,0,29.99,0,1,1,0,1,0,1
8,2,256.83,0,1,0,1,2,0,0
7,3,462.7,0,1,1,1,0,0,0
7,3,489.49,1,0,2,1,2,0,1
1,3,352.99,1,0,0,0,2,1,0
3,0,54.79,1,0,1,0,1,1,0
9,0,29.99,0,1,1,0,1,0,0
5,0,54.14,0,1,1,1,2,1,0
